Дата,Товар,Точка продажи,Количество,Себестоимость,Цена,Сумма продаж,Прибыль
2024-08-22,Планшет,Точка B,14,75423.53,91380.98,1279333.72,223404.3
2024-08-27,Ноутбук,Точка A,11,70327.34,88718.66,975905.26,202304.52
2024-08-27,Смартфон,Точка A,1,21614.6,26435.62,26435.62,4821.02
2024-09-09,Смартфон,Точка A,15,12198.91,15031.15,225467.25,42483.6
2024-09-27,Смартфон,Точка C,11,43979.01,57862.9,636491.9,152722.79
2024-10-01,Ноутбук,Точка B,15,28518.82,40396.88,605953.2,178170.9
2024-10-01,Монитор,Точка A,9,74790.26,98377.67,885399.03,212286.69
2024-10-02,Монитор,Точка A,13,47289.43,54397.23,707163.99,92401.4
2024-10-06,Планшет,Точка D,5,49804.06,55984.35,279921.75,30901.45
2024-10-06,Смартфон,Точка C,3,65116.22,74443.35,223330.05,27981.39
2024-10-06,Планшет,Точка A,1,42079.99,63093.97,63093.97,21013.98
2024-10-06,Монитор,Точка A,3,45160.38,60337.53,181012.59,45531.45
2024-10-06,Ноутбук,Точка D,2,63225.88,87350.11,174700.22,48248.46
2024-10-09,Принтер,Точка B,5,46937.17,63019.61,315098.05,80412.2
2024-10-10,Планшет,Точка A,5,60823.57,87281.24,436406.2,132288.35
2024-10-10,Ноутбук,Точка C,4,38308.08,45867.11,183468.44,30236.12
2024-10-10,Планшет,Точка A,2,71392.69,85991.5,171983.0,29197.62
2024-10-10,Монитор,Точка B,4,30769.55,45769.21,183076.84,59998.64
2024-10-14,Принтер,Точка A,3,10187.3,13041.8,39125.4,8563.5
2024-10-14,Смартфон,Точка A,4,71460.67,105674.59,422698.36,136855.68
2024-10-14,Принтер,Точка D,11,66997.15,99666.44,1096330.84,359362.19
2024-10-22,Планшет,Точка C,12,41762.17,51060.48,612725.76,111579.72
2024-10-25,Ноутбук,Точка C,12,76086.27,103108.15,1237297.8,324262.56
2024-10-28,Планшет,Точка A,9,38559.35,45881.01,412929.09,65894.94
2024-10-28,Принтер,Точка A,8,16164.19,19412.54,155300.32,25986.8
2024-10-28,Планшет,Точка B,10,52507.32,73466.68,734666.8,209593.6
2024-10-29,Смартфон,Точка C,4,66459.4,77022.56,308090.24,42252.64
2024-10-29,Монитор,Точка A,7,72965.33,85809.53,600666.71,89909.4
2024-10-29,Смартфон,Точка C,1,59561.29,68533.2,68533.2,8971.91
2024-11-01,Смартфон,Точка A,10,15738.84,21451.24,214512.4,57124.0
2024-11-01,Монитор,Точка B,10,47388.65,69318.77,693187.7,219301.2
2024-11-01,Ноутбук,Точка C,14,57898.13,82343.37,1152807.18,342233.36
2024-11-01,Планшет,Точка D,4,71214.02,80482.81,321931.24,37075.16
2024-11-01,Планшет,Точка D,9,47164.54,59908.47,539176.23,114695.37
2024-11-05,Смартфон,Точка D,9,55605.66,81541.76,733875.84,233424.9
2024-11-05,Ноутбук,Точка A,11,40002.89,57873.8,636611.8,196580.01
2024-11-05,Смартфон,Точка B,4,47540.0,54959.71,219838.84,29678.84
2024-11-17,Принтер,Точка D,11,15622.07,19237.43,211611.73,39768.96
2024-11-21,Принтер,Точка C,7,48355.6,53199.01,372393.07,33903.87
2024-11-21,Ноутбук,Точка C,7,32914.69,42192.67,295348.69,64945.86
2024-11-21,Монитор,Точка B,2,42864.34,63768.48,127536.96,41808.28
2024-11-27,Монитор,Точка B,12,30962.63,34417.41,413008.92,41457.36
2024-11-28,Принтер,Точка D,5,73373.55,105543.56,527717.8,160850.05
2024-11-28,Ноутбук,Точка A,11,79949.77,114680.83,1261489.13,382041.66
2024-11-28,Ноутбук,Точка C,9,56469.77,76104.55,684940.95,176713.02
2024-12-01,Ноутбук,Точка C,13,54867.33,62802.29,816429.77,103154.48
2024-12-14,Монитор,Точка C,11,60310.22,84661.12,931272.32,267859.9
2024-12-18,Принтер,Точка B,12,31820.14,47668.47,572021.64,190179.96
2024-12-25,Принтер,Точка D,4,69920.91,88401.71,353606.84,73923.2
2024-12-26,Принтер,Точка D,8,75299.66,109021.91,872175.28,269778.0
